name,univ_file,tax_rate,rate_date,tax_credit,credit_limit
ABERDEEN VILLAGE INCOME TAX,YES,0.01,2004-01-01,1,0.01
ADA VILLAGE INCOME TAX,YES,0.0165,2011-07-01,1,0.0165
ADDYSTON VILLAGE INCOME TAX,YES,0.015,2013-01-01,1,0.015
ADELPHI VILLAGE INCOME TAX,YES,0.01,2010-01-01,0,0
AKRON CITY INCOME TAX,YES,0.0225,2004-01-01,1,0.0225
ALGER VILLAGE INCOME TAX,YES,0.01,1971-01-01,1,0.01
ALLIANCE CITY INCOME TAX,YES,0.02,2007-07-01,1,0.0175
AMANDA VILLAGE INCOME TAX,YES,0.01,2015-09-01,0,0
AMBERLEY VILLAGE INCOME TAX,YES,0.02,1981-01-01,1,0.02
AMHERST CITY INCOME TAX,YES,0.015,1991-01-01,1,0.01
AMSTERDAM VILLAGE INCOME TAX,YES,0.01,2014-07-01,1,0.01
ANDOVER VILLAGE INCOME TAX,YES,0.015,1997-01-01,1,0.015
ANNA VILLAGE INCOME TAX,YES,0.0175,1999-01-01,1,0.0175
ANSONIA VILLAGE INCOME TAX,NO,0.01,1989-01-01,1,0.01
ANTWERP CITY INCOME TAX,YES,0.01,2006-09-12,0.5,0.01
APPLE CREEK VILLAGE INCOME TAX,YES,0.01,1973-04-02,0.005,0.005
ARCANUM VILLAGE INCOME TAX,YES,0.01,2011-01-01,0,0
ARCHBOLD VILLAGE INCOME TAX,NO,0.015,2000-01-01,1,0.015
ARLINGTON HEIGHTS VILLAGE INCOME TAX,YES,0.021,1968-01-01,1,0.021
ARLINGTON VILLAGE INCOME TAX,YES,0.01,1989-07-01,1,0.01
ASHLAND CITY INCOME TAX,YES,0.02,2017-01-01,0.6667,0.01
ASHLEY VILLAGE INCOME TAX,YES,0.01,2016-01-01,0,0
ASHTABULA CITY INCOME TAX,YES,0.018,1992-01-01,0.5,0.018
ASHTABULA TOWNSHIP JEDD,YES,0.018,2013-03-01,0.5,0.018
ASHVILLE VILLAGE INCOME TAX,YES,0.01,1972-01-01,0,0.01
ATHENS CITY INCOME TAX,NO,0.0185,2017-01-01,1,0.0125
AURORA CITY INCOME TAX,YES,0.02,2003-04-01,1,0.02
AUSTIN CENTER JEDD,YES,0.0225,2011-01-01,1,0.0225
AVON CITY INCOME TAX,YES,0.0175,2008-01-01,1,0.015
